"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","chromosome_name","abslogfold"
"ENSG00000000003",2833.37714382966,-1.08968997939315,0.93027147666507,-1.17136772085024,0.241451001253684,0.99998225410374,"TSPAN6","X",1.08968997939315
"ENSG00000000419",1273.58587279836,0.0673889976848004,0.883075137198677,0.0763117370720845,0.939171088241131,0.99998225410374,"DPM1","20",0.0673889976848004
"ENSG00000000457",443.823491843139,-0.481915504819724,0.948124161722946,-0.508283117628792,0.61125480786029,0.99998225410374,"SCYL3","1",0.481915504819724
"ENSG00000000460",313.754598881144,0.0010430513401532,1.07607589473941,0.000969310199450002,0.999226602478339,0.99998225410374,"FIRRM","1",0.0010430513401532
"ENSG00000000938",397.209106670113,-0.699558295707942,1.07078493722341,-0.653313537937811,0.513554166490769,0.99998225410374,"FGR","1",0.699558295707942
"ENSG00000000971",1300.02227698176,1.51724744791541,1.03771321140906,1.46210670851459,0.143711970692163,0.99998225410374,"CFH","1",1.51724744791541
"ENSG00000001036",2671.29328243136,-0.0900193982824054,0.947871023648357,-0.0949700919603182,0.924338582678588,0.99998225410374,"FUCA2","6",0.0900193982824054
"ENSG00000001084",1582.39152302327,0.599350798098564,0.843210334626162,0.710796314379005,0.477210464875696,0.99998225410374,"GCLC","6",0.599350798098564
"ENSG00000001167",1165.87004275162,0.0648486025494409,0.845643772543261,0.0766854846626608,0.938873752095906,0.99998225410374,"NFYA","6",0.0648486025494409
"ENSG00000001460",467.925324154342,0.849338006446022,0.916744603559988,0.926471781942096,0.35420085505605,0.99998225410374,"STPG1","1",0.849338006446022
"ENSG00000001461",1850.16130040592,0.00611562993991484,0.884317022026248,0.00691565330937769,0.994482150979632,0.99998225410374,"NIPAL3","1",0.00611562993991484
"ENSG00000001497",1925.37733505716,-0.503870259206313,0.849111952588264,-0.593408510703936,0.552907794576718,0.99998225410374,"LAS1L","X",0.503870259206313
"ENSG00000001561",976.517983820603,0.0920141463512169,0.872290854642012,0.105485625421328,0.915990475602666,0.99998225410374,"ENPP4","6",0.0920141463512169
"ENSG00000001617",1781.1035115653,-1.76394375133254,1.07754237017675,-1.63700639543595,0.101629133267912,0.98862658276295,"SEMA3F","3",1.76394375133254
"ENSG00000001626",2458.1092428271,-1.73234276551381,0.853429410487478,-2.02986063548513,0.0423707073861034,0.694578111395439,"CFTR","7",1.73234276551381
"ENSG00000001629",1575.25865973036,-0.0813427035115176,0.916061229291339,-0.0887961425618285,0.929243923372276,0.99998225410374,"ANKIB1","7",0.0813427035115176
"ENSG00000001630",229.137759346289,-2.15160996833072,1.0947967956304,-1.96530532142432,0.0493789100611539,0.731789446813755,"CYP51A1","7",2.15160996833072
"ENSG00000001631",177.305680138661,0.993731902555986,1.03863271778542,0.956769304046983,0.338683708867388,0.99998225410374,"KRIT1","7",0.993731902555986
"ENSG00000002016",343.454129467442,0.608305819304937,0.923838214687184,0.658454921688764,0.510245854079686,0.99998225410374,"RAD52","12",0.608305819304937
"ENSG00000002330",472.798496943005,0.914843099199714,0.990651728338992,0.92347600375524,0.355759199912576,0.99998225410374,"BAD","11",0.914843099199714
"ENSG00000002549",6352.6394149493,-1.31341131951817,0.829597836900243,-1.58319038586898,0.113378077107492,0.99998225410374,"LAP3","4",1.31341131951817
"ENSG00000002586",7688.20224847863,1.03766607176121,0.817755368731662,1.26891991350743,0.20446962916963,0.99998225410374,"CD99","X",1.03766607176121
"ENSG00000002587",1006.3726945368,2.99162302424994,1.15334804949399,2.59385969878083,0.00949052066503666,0.289083175220402,"HS3ST1","4",2.99162302424994
"ENSG00000002726",5390.42551329745,-5.19488263480141,1.20783356839111,-4.30099209920224,1.70035123402656e-05,0.00282868829427227,"AOC1","7",5.19488263480141
"ENSG00000002746",28.2993437641569,0.220789962390231,2.08065493859043,0.106115607299982,0.915490628228216,0.99998225410374,"HECW1","7",0.220789962390231
"ENSG00000002822",17.6580037537605,-0.401739111050812,2.04604047770503,-0.196349542166159,0.84433658695704,0.99998225410374,"MAD1L1","7",0.401739111050812
"ENSG00000002834",13591.2162516429,0.155765707228488,0.82878658462506,0.18794429123024,0.85092032197058,0.99998225410374,"LASP1","17",0.155765707228488
"ENSG00000002919",1036.46896466969,0.472918665796403,0.934544408166256,0.506041940504843,0.612827207375192,0.99998225410374,"SNX11","17",0.472918665796403
"ENSG00000002933",2693.85049659379,1.36168329096269,0.90206954090753,1.50951033064787,0.131168417298646,0.99998225410374,"TMEM176A","7",1.36168329096269
"ENSG00000003056",2714.77497979649,-0.856921592101753,0.81874151577624,-1.04663263751725,0.295269043035446,0.99998225410374,"M6PR","12",0.856921592101753
"ENSG00000003096",221.123669106017,1.10756505637219,1.16756657887971,0.948609763594728,0.342819123376167,0.99998225410374,"KLHL13","X",1.10756505637219
"ENSG00000003137",223.102299918029,2.98498155072832,1.25352806261151,2.3812642411129,0.0172533307972588,0.41814776818228,"CYP26B1","2",2.98498155072832
"ENSG00000003147",1994.29762639348,1.33964270097646,0.918367828192899,1.45872128775735,0.144641834510457,0.99998225410374,"ICA1","7",1.33964270097646
"ENSG00000003249",1398.62789787199,1.64894223447152,1.06833261939689,1.54347270179057,0.122716125900529,0.99998225410374,"DBNDD1","16",1.64894223447152
"ENSG00000003393",1032.7655907769,-0.68680082540855,0.871762190869105,-0.787830480149457,0.430795869727343,0.99998225410374,"ALS2","2",0.68680082540855
"ENSG00000003400",2086.24872374038,0.043802704322212,1.01708724951061,0.0430668109774147,0.965648275744155,0.99998225410374,"CASP10","2",0.043802704322212
