"Beta","CI_L","CI_H","pval","study","name"
"-0.967428383971369","-1.9540175201324","0.0191607521896647","0.0546184528919307","GSE131013,GSE42752","BMI"
"-1.13572555251028","-2.28427903590659","0.0128279308860388","0.0526142443386459","GSE131013,GSE42752","pm10"
"-0.664135531602676","-1.74266835020722","0.414397287001869","0.22747049198887","GSE131013,GSE42752","pm2_5"
"-0.903923978570204","-2.12800334635493","0.320155389214522","0.147801856094715","GSE131013,GSE42752","Obesity"
"0.176429556522832","-0.831604525442293","1.18446363848796","0.731568692786742","GSE131013,GSE42752","HEPTACHLOR"
"-0.229796382758999","-1.21269205378982","0.753099288271818","0.646786952539657","GSE131013,GSE42752","coffee"
"0.788743128948447","-0.452998578561471","2.03048483645836","0.213149600965802","GSE131013,GSE42752","smoking_sm13"
"-0.776983242190853","-1.91648336000059","0.362516875618888","0.181409617884028","GSE131013,GSE42752","MESOTRIONE"
"0.230063090906526","-0.781690083919882","1.24181626573293","0.655830400470007","GSE131013,GSE42752","ACETOCHLOR"
"-0.482962398228004","-1.51753260179327","0.551607805337261","0.360213363831427","GSE131013,GSE42752","education"
"-0.089103549784519","-1.0578459104733","0.879638810904263","0.856936908614421","GSE131013,GSE42752","NO2"
"-0.00949949072334647","-0.960912290114561","0.941913308667868","0.984386805620739","GSE131013,GSE42752","smoking"
"0.408211108892885","-0.871943417218845","1.68836563500462","0.531980033947056","GSE131013,GSE42752","PICLORAM"
"-0.125019181750166","-1.0935335352231","0.843495171722769","0.800269041248811","GSE131013,GSE42752","AHEI"
"-0.442633824588529","-1.73294061901283","0.847672969835774","0.50135667286062","GSE131013,GSE42752","dicamba"
"-0.506438242703789","-1.77661190255687","0.763735417149291","0.434526991188918","GSE131013,GSE42752","MDS"
"-0.186968079873312","-1.18467493383448","0.810738774087852","0.713400505390492","GSE131013,GSE42752","Alcohol"
"0.399331629486104","-1.03171105814691","1.83037431711912","0.584429016134411","GSE42752","METOLACHLOR"
"0.46075331606732","-2.11608325297802","3.03758988511266","0.7259988153515","GSE42752","PCB"
