"Beta","CI_L","CI_H","pval","study","name"
-0.136374292964186,-0.549704533609271,0.276955947680899,0.51784486043871,"EMTAB7036,GSE131013,GSE199057,GSE42752","NO2"
-0.638240447853717,-1.09809365461937,-0.178387241088066,0.00652271694158415,"EMTAB7036,GSE131013,GSE199057,GSE42752","Obesity"
0.706017306817894,0.230334795459188,1.1816998181766,0.00362567188704266,"EMTAB7036,GSE131013,GSE199057,GSE42752","smoking_sm13"
0.693369172998009,0.178305813096913,1.20843253289911,0.00832813625225139,"EMTAB7036,GSE199057,GSE42752","METOLACHLOR"
-0.78511222654575,-1.27813375886103,-0.292090694230467,0.00180149310312687,"EMTAB7036,GSE131013,GSE199057,GSE42752","education"
0.368013908777861,-0.0541632815204607,0.790191099076183,0.0875417280475727,"EMTAB7036,GSE131013,GSE199057,GSE42752","PICLORAM"
0.404438603035714,-0.0264906552191613,0.83536786129059,0.0658448406643717,"EMTAB7036,GSE131013,GSE199057,GSE42752","coffee"
-0.275079044604608,-0.683984731439522,0.133826642230307,0.187333975221948,"EMTAB7036,GSE131013,GSE199057,GSE42752","Alcohol"
-0.364220842313966,-0.762469818412247,0.0340281337843146,0.0730535346059053,"EMTAB7036,GSE131013,GSE199057,GSE42752","BMI"
-0.178586840010794,-0.582410238639457,0.225236558617869,0.386065644233369,"EMTAB7036,GSE131013,GSE199057,GSE42752","dicamba"
-0.171369199908749,-0.59557416584598,0.252835766028482,0.428488344644024,"EMTAB7036,GSE131013,GSE199057,GSE42752","MDS"
0.341581676512612,-0.0757221967627694,0.758885549787994,0.108644150514451,"EMTAB7036,GSE131013,GSE199057,GSE42752","ACETOCHLOR"
0.112244226888656,-0.282863021577747,0.507351475355059,0.577665940894528,"EMTAB7036,GSE131013,GSE199057,GSE42752","AHEI"
0.305107780838305,-0.411334266705148,1.02154982838176,0.403897580257726,"EMTAB7036,GSE199057,GSE42752","PCB"
-0.0819251980601957,-0.462257074870785,0.298406678750393,0.672889942813207,"EMTAB7036,GSE131013,GSE199057,GSE42752","smoking"
-0.100007540556835,-0.519305032319989,0.319289951206319,0.640159933302246,"EMTAB7036,GSE131013,GSE199057,GSE42752","MESOTRIONE"
-0.0170371303476416,-0.445567164380378,0.411492903685095,0.937889645161233,"EMTAB7036,GSE131013,GSE199057,GSE42752","HEPTACHLOR"
