"ID","CI_L","CI_H","pval","study","name"
0.371315499822257,-0.0357037660184424,0.778334765662957,0.0737702369477512,"EMTAB7036,GSE131013,GSE199057,GSE42752","MESOTRIONE"
-0.477019743170568,-0.875805884936814,-0.0782336014043219,0.0190542239581641,"EMTAB7036,GSE131013,GSE199057,GSE42752","smoking"
0.417314361282725,0.0143444594037315,0.820284263161718,0.0423837344327705,"EMTAB7036,GSE131013,GSE199057,GSE42752","PICLORAM"
-0.377424122291759,-0.804041670947537,0.0491934263640191,0.08292521315917,"EMTAB7036,GSE131013,GSE199057,GSE42752","pm10"
0.314029135454313,-0.119929369490306,0.747987640398933,0.156101550445787,"EMTAB7036,GSE131013,GSE199057,GSE42752","Obesity"
0.461663616702067,-0.194942066741599,1.11826930014573,0.168183807949839,"EMTAB7036,GSE131013,GSE199057,GSE42752","PCB"
-0.209186350915523,-0.612552029360044,0.194179327528998,0.309419075467262,"EMTAB7036,GSE131013,GSE199057,GSE42752","BMI"
0.184253432835415,-0.247896279852226,0.616403145523056,0.403346381877532,"EMTAB7036,GSE199057,GSE42752","ACETOCHLOR"
-0.210718012540876,-0.564638956524511,0.143202931442759,0.243240067870846,"EMTAB7036,GSE131013,GSE199057,GSE42752","NO2"
-0.131140611623821,-0.543674489233253,0.281393265985611,0.533249047763824,"EMTAB7036,GSE131013,GSE199057,GSE42752","pm2_5"
-0.0449507605148561,-0.464678458162243,0.37477693713253,0.833743810715952,"EMTAB7036,GSE131013,GSE199057,GSE42752","HEPTACHLOR"
