"Beta","CI_L","CI_H","pval","study","name"
"0.131841004136353","-0.155520488151499","0.419202496424206","0.368531007010978","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE"
"-0.181500551521441","-0.452995602866881","0.0899944998239995","0.190101120463015","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","NO2"
"-0.0473453739838947","-0.339653741568044","0.244962993600255","0.750897146781974","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Obesity"
"-0.219442379993864","-0.514097006273993","0.075212246286265","0.144380190545943","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","BMI"
"-0.278263110070069","-0.555919759437204","-0.000606460702933631","0.0495016912435096","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking"
"-0.352720557800401","-0.655198269445296","-0.0502428461555046","0.0222822136530457","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5"
"-0.196016071631081","-0.554899644557915","0.162867501295752","0.284394840522862","EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm10"
"0.13710534708642","-0.432019007721833","0.706229701894672","0.636807839244872","EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,READ","PCB"
