"Beta","CI_L","CI_H","pval","study","name","SampleID"
-0.399535922958516,-0.705063527244526,-0.0940083186725063,0.0103763469699451,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5","P1E5"
0.0281583125315899,-0.244571450900309,0.300888075963489,0.839636204013915,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","birthweight","P1E5"
-0.174235384019305,-0.447831625573526,0.0993608575349153,0.21196819663355,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking","P1E5"
-0.264810669107617,-0.570880078928266,0.0412587407130324,0.0899318903424768,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","A_2_4_D","P1E5"
0.0524115711779619,-0.231933734137469,0.336756876493393,0.717899291353358,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","AHEI","P1E5"
-0.0100685743397061,-0.292018462480219,0.271881313800807,0.944200573309774,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MALATHION","P1E5"
-0.206163990569147,-0.489216581207069,0.0768886000687753,0.153419113428516,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Obesity","P1E5"
0.0113116105772197,-0.259120143652189,0.281743364806628,0.934661576287729,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Alcohol","P1E5"
-0.120928164918155,-0.400631917131175,0.158775587294865,0.396784379671479,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","METOLACHLOR","P1E5"
0.12940127736292,-0.170802319812197,0.429604874538036,0.398204202969192,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","ACETOCHLOR","P1E5"
-0.442678385418451,-0.744232985053712,-0.141123785783189,0.00401217846321293,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm10","P1E5"
-0.0374148759908329,-0.3221484079486,0.247318655966934,0.796757778093296,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MDS","P1E5"
-0.0180315596691599,-0.304189279661956,0.268126160323636,0.901709156761165,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","TOXAPHENE","P1E5"
0.0474143664199884,-0.293520132479426,0.388348865319402,0.785179414077017,"EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","DDT","P1E5"
0.267965414016,-0.0113144426505671,0.547245270682568,0.0600317810502366,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE","F01"
-0.00155818287995071,-0.293382697757773,0.290266331997871,0.991650184458633,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MALATHION","F01"
-0.232132376108308,-0.492980877880892,0.0287161256642759,0.0811247960250627,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","NO2","F01"
-0.203135509460078,-0.527471865984171,0.121200847064014,0.219616881503592,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","HEPTACHLOR","F01"
0.469233502983583,0.184642009698938,0.753824996268228,0.00123106967195133,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","PICLORAM","F01"
-0.362063756665205,-0.643148087157459,-0.0809794261729512,0.0115822515466082,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking","F01"
0.0818472661379841,-0.209799640039502,0.37349417231547,0.582291398439037,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","ACETOCHLOR","F01"
-0.297171083051627,-0.598679400557495,0.00433723445424189,0.0533879424247429,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5","F01"
-0.281015076619927,-0.574530636952246,0.0125004837123922,0.0605878323793626,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","METOLACHLOR","F01"
0.234874979725254,-0.0458218103443133,0.515571769794821,0.101002377799334,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE","F005"
-0.00583671157257134,-0.288001035074915,0.276327611929772,0.96766034962571,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","HEPTACHLOR","F005"
-0.231634012639561,-0.492515147660558,0.0292471223814354,0.0818178696424611,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","NO2","F005"
0.450625378991306,0.166475378227408,0.734775379755204,0.00188198182250262,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","PICLORAM","F005"
0.341524985293622,-0.182583929626209,0.865633900213454,0.201541907154263,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,READ","PCB","F005"
-0.208850125111292,-0.504152517126129,0.0864522669035443,0.165695613132079,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","BMI","F005"
-0.36171139117518,-0.642751316669414,-0.0806714656809465,0.011650262930634,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking","F005"
0.137876753580407,-0.153723253260751,0.429476760421565,0.354068523625749,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Obesity","F005"
-0.0119572103487956,-0.301611408329507,0.277696987631916,0.935514129906425,"EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","ACETOCHLOR","F005"
-0.433536537053671,-0.735036586253589,-0.132036487853754,0.00482794709034133,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm10","F005"
-0.112904091595078,-0.39340892747559,0.167600744285433,0.430175273040264,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5","F005"
0.131841004136353,-0.155520488151499,0.419202496424206,0.368531007010978,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE","F001"
-0.181500551521441,-0.452995602866881,0.0899944998239995,0.190101120463015,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","NO2","F001"
-0.0473453739838947,-0.339653741568044,0.244962993600255,0.750897146781974,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Obesity","F001"
-0.219442379993864,-0.514097006273993,0.075212246286265,0.144380190545943,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","BMI","F001"
-0.278263110070069,-0.555919759437204,-0.000606460702933631,0.0495016912435096,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking","F001"
-0.352720557800401,-0.655198269445296,-0.0502428461555046,0.0222822136530457,"EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5","F001"
-0.196016071631081,-0.554899644557915,0.162867501295752,0.284394840522862,"EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm10","F001"
0.13710534708642,-0.432019007721833,0.706229701894672,0.636807839244872,"EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,READ","PCB","F001"
