"Beta","CI_L","CI_H","pval","study","name"
"-0.406830564402553","-1.09944614374629","0.285785014941186","0.249629656936204","GSE131013,GSE42752","NO2"
"-1.23110704326116","-2.45840045125902","-0.0038136352633058","0.0492923401015374","GSE131013,GSE42752","pm10"
"-0.920958423865504","-1.82978802576122","-0.0121288219697897","0.0470199163648734","GSE131013,GSE42752","BMI"
"-0.279105308321116","-1.31857463943514","0.760364022792903","0.598704080975513","GSE131013,GSE42752","pm2_5"
"-0.827557172494002","-1.74384489319729","0.0887305482092813","0.0766993308122992","GSE131013,GSE42752","smoking"
"0.032474142163606","-1.11360784879663","1.17855613312384","0.955711909378739","GSE131013,GSE42752","Obesity"
"0.432143026310668","-0.530255543112999","1.39454159573434","0.378817641842289","GSE131013,GSE42752","MESOTRIONE"
"0.60067312367244","-1.11286426421063","2.31421051155551","0.492046871668989","GSE131013,GSE42752","PCB"
"0.682036088091282","-0.482750612594728","1.84682278877729","0.251113536652197","GSE131013,GSE42752","PICLORAM"
"0.0115737721320797","-0.906450410051405","0.929597954315564","0.980286453310646","GSE131013,GSE42752","HEPTACHLOR"
"0.571763660025078","-1.04709416502043","2.19062148507058","0.488787382757919","GSE42752","ACETOCHLOR"
