"Beta","CI_L","CI_H","pval","study","name"
"0.528237353391209","-0.045122631629018","1.10159733841144","0.0709624697536524","GSE39958,READ","PICLORAM"
"-0.225990269185539","-0.827535860954694","0.375555322583617","0.461533207888885","GSE39958,READ","BMI"
"-0.0441862725077382","-0.586904843936929","0.498532298921453","0.873217054267702","GSE39958,READ","pm2_5"
"-0.156213596476417","-0.705134492159099","0.392707299206265","0.576999690319228","GSE39958,READ","Obesity"
"-0.0266191047563265","-0.58420051141099","0.530962301898337","0.925451319426006","GSE39958,READ","ACETOCHLOR"
"-0.364100934214321","-0.956082477535902","0.22788060910726","0.228016224936544","GSE39958,READ","smoking"
"-0.165922755881164","-0.701090242016323","0.369244730253996","0.543409587496891","GSE39958,READ","NO2"
"-0.294122462655204","-1.30439431870299","0.716149393392584","0.568265239632551","GSE39958,READ","PCB"
"-0.576481204079411","-1.17627832313647","0.0233159149776518","0.0595955113498145","GSE39958,READ","pm10"
"-0.0429179385357107","-0.584939363312041","0.49910348624062","0.876669627901483","GSE39958,READ","HEPTACHLOR"
"0.0250377193006983","-0.522100510321082","0.572175948922479","0.92853327187957","GSE39958,READ","MESOTRIONE"
