"Beta","CI_L","CI_H","pval","study","name","SampleID"
-0.240996335751465,-0.839225650729288,0.357232979226358,0.429778721092271,"GSE39958,READ","BMI","F001"
-0.227998192955421,-0.792614171029503,0.336617785118661,0.428678414422424,"GSE39958,READ","Obesity","F001"
-0.105023711315521,-0.659106707987803,0.449059285356762,0.710264002217375,"GSE39958,READ","NO2","F001"
-0.0406522471803982,-0.729446770701855,0.648142276341059,0.907909390981887,"GSE39958,READ","pm10","F001"
-0.227714123343468,-0.802650722824722,0.347222476137786,0.437583990345362,"GSE39958,READ","smoking","F001"
0.0627241642099084,-0.525990093696499,0.651438422116316,0.834586382147608,"GSE39958,READ","MESOTRIONE","F001"
-0.59064243144407,-1.16175010467798,-0.0195347582101556,0.0426619399816489,"GSE39958,READ","pm2_5","F001"
-0.689766542926146,-1.70197606843098,0.322442982578691,0.181676644983116,"GSE39958,READ","PCB","F001"
0.528237353391209,-0.045122631629018,1.10159733841144,0.0709624697536524,"GSE39958,READ","PICLORAM","F005"
-0.225990269185539,-0.827535860954694,0.375555322583617,0.461533207888885,"GSE39958,READ","BMI","F005"
-0.0441862725077382,-0.586904843936929,0.498532298921453,0.873217054267702,"GSE39958,READ","pm2_5","F005"
-0.156213596476417,-0.705134492159099,0.392707299206265,0.576999690319228,"GSE39958,READ","Obesity","F005"
-0.0266191047563265,-0.58420051141099,0.530962301898337,0.925451319426006,"GSE39958,READ","ACETOCHLOR","F005"
-0.364100934214321,-0.956082477535902,0.22788060910726,0.228016224936544,"GSE39958,READ","smoking","F005"
-0.165922755881164,-0.701090242016323,0.369244730253996,0.543409587496891,"GSE39958,READ","NO2","F005"
-0.294122462655204,-1.30439431870299,0.716149393392584,0.568265239632551,"GSE39958,READ","PCB","F005"
-0.576481204079411,-1.17627832313647,0.0233159149776518,0.0595955113498145,"GSE39958,READ","pm10","F005"
-0.0429179385357107,-0.584939363312041,0.49910348624062,0.876669627901483,"GSE39958,READ","HEPTACHLOR","F005"
0.0250377193006983,-0.522100510321082,0.572175948922479,0.92853327187957,"GSE39958,READ","MESOTRIONE","F005"
0.549762184413451,-0.0320757725555062,1.13160014138241,0.0640381181366419,"GSE39958,READ","PICLORAM","F01"
0.144088426699866,-0.418727994410475,0.706904847810207,0.615824654149943,"GSE39958,READ","ACETOCHLOR","F01"
-0.34587921319823,-0.920898297493611,0.229139871097152,0.238423590879364,"GSE39958,READ","METOLACHLOR","F01"
0.209323754704007,-0.343618068399504,0.762265577807518,0.458104662056842,"GSE39958,READ","MESOTRIONE","F01"
-0.364495500017786,-0.956536709499724,0.227545709464153,0.227559461035537,"GSE39958,READ","smoking","F01"
0.0497969713880518,-0.496296928252657,0.595890871028761,0.858154158252096,"GSE39958,READ","MALATHION","F01"
-0.16821605461833,-0.703402356156647,0.366970246919988,0.537866591729641,"GSE39958,READ","NO2","F01"
-0.0950698341596089,-0.645954596654662,0.455814928335444,0.735179340621567,"GSE39958,READ","HEPTACHLOR","F01"
-0.381920763740528,-0.972300649031983,0.208459121550927,0.204828651847386,"GSE39958,READ","pm2_5","F01"
0.745034838479463,0.0806359944058602,1.40943368255307,0.0279606069308157,"GSE39958,READ","smoking_sm13","GW"
-0.415528118230648,-1.0183711217503,0.187314885289,0.176706459689592,"GSE39958,READ","BMI","GW"
-0.473071689973751,-1.07192252328968,0.125779143342176,0.12154898771233,"GSE39958,READ","education","GW"
0.502149556956893,-0.069181650123791,1.07348076403758,0.084954579209512,"GSE39958,READ","PICLORAM","GW"
0.691647622479673,0.0370158619174961,1.34627938304185,0.0383784927651997,"GSE39958,READ","METOLACHLOR","GW"
-0.582882848610059,-1.18000391109227,0.0142382138721564,0.0557187302356113,"GSE39958,READ","MDS","GW"
-0.201158603466205,-0.756864620889387,0.354547413956977,0.4780251929582,"GSE39958,READ","dicamba","GW"
-0.112123123323092,-0.710036957145353,0.485790710499169,0.713216219462335,"GSE39958,READ","AHEI","GW"
-0.0958324733453719,-0.640460601158663,0.448795654467919,0.730188938560716,"GSE39958,READ","Obesity","GW"
-0.931518561557693,-2.00070134349241,0.137664220377027,0.0877094920340354,"GSE39958,READ","PCB","GW"
0.0158915848235155,-0.609403707550088,0.641186877197119,0.960272554651707,"GSE39958,READ","NO2","GW"
-0.664987775458257,-1.25479532048422,-0.0751802304322914,0.0271195899568971,"GSE39958,READ","pm2_5","GW"
0.0244186524798431,-0.525208254770383,0.574045559730069,0.930610571622645,"GSE39958,READ","ACETOCHLOR","GW"
-0.102185420503111,-0.661130783209162,0.456759942202939,0.720105938911323,"GSE39958,READ","MESOTRIONE","GW"
-0.677126034839661,-1.2824419115419,-0.0718101581374188,0.0283449028640535,"GSE39958,READ","pm10","GW"
-0.0931297500420395,-0.659952309588271,0.473692809504192,0.747433860500012,"GSE39958,READ","Alcohol","GW"
-0.0188929349975389,-0.56136171838766,0.523575848392582,0.94557785371617,"GSE39958,READ","HEPTACHLOR","GW"
0.0963435867272607,-0.461349127681657,0.654036301136178,0.73491755782319,"GSE39958,READ","smoking","GW"
0.28918648200236,-0.278095129619151,0.856468093623871,0.317725732260595,"GSE39958,READ","coffee","GW"
-0.209950101881338,-0.839462100323572,0.419561896560895,0.513322868702507,"GSE39958,READ","GLYPHOSATE","P1E5"
0.573612223409031,-0.0200946081894404,1.1673190550075,0.0582745342704829,"GSE39958,READ","PICLORAM","P1E5"
-0.353920367157654,-0.906721763894149,0.198881029578841,0.209540876037238,"GSE39958,READ","Obesity","P1E5"
