"Pesticide1","Pesticide2","SES_Variable","SES_P_value","Significant"
"XACETOCHLOR","XSIMAZINE","Education.index",0.0814755752091655,FALSE
"XACETOCHLOR","XSIMAZINE","Income",0.581802642565803,FALSE
"XACETOCHLOR","XSIMAZINE","home_value",0.751745601596282,FALSE
"XACETOCHLOR","XSIMAZINE","rent",0.635728228513737,FALSE
"XACETOCHLOR","XSIMAZINE","Poverty_150",0.917136969442485,FALSE
"XACETOCHLOR","XSIMAZINE","Unemployed",0.376115061120208,FALSE
"XACETOCHLOR","XSIMAZINE","Working_class",0.808726964892269,FALSE
"XACETOCHLOR","XTEBUPIRIMPHOS","Education.index",0.0187305136962449,TRUE
"XACETOCHLOR","XTEBUPIRIMPHOS","Income",0.19501779337331,FALSE
"XACETOCHLOR","XTEBUPIRIMPHOS","home_value",0.169033242172989,FALSE
"XACETOCHLOR","XTEBUPIRIMPHOS","rent",0.0122279695548948,TRUE
"XACETOCHLOR","XTEBUPIRIMPHOS","Poverty_150",0.324415031131197,FALSE
"XACETOCHLOR","XTEBUPIRIMPHOS","Unemployed",0.244702611630447,FALSE
"XACETOCHLOR","XTEBUPIRIMPHOS","Working_class",0.558799199405114,FALSE
"XATRAZINE","XACETOCHLOR","Education.index",0.196356194824523,FALSE
"XATRAZINE","XACETOCHLOR","Income",0.841857936280225,FALSE
"XATRAZINE","XACETOCHLOR","home_value",0.858358860644659,FALSE
"XATRAZINE","XACETOCHLOR","rent",0.618021431349827,FALSE
"XATRAZINE","XACETOCHLOR","Poverty_150",0.926073590894946,FALSE
"XATRAZINE","XACETOCHLOR","Unemployed",0.140739658725087,FALSE
"XATRAZINE","XACETOCHLOR","Working_class",0.722176076534309,FALSE
"XATRAZINE","XDIAZINON","Education.index",0.0165152292816153,TRUE
"XATRAZINE","XDIAZINON","Income",0.434305243640333,FALSE
"XATRAZINE","XDIAZINON","home_value",0.396136742333842,FALSE
"XATRAZINE","XDIAZINON","rent",0.18711070312088,FALSE
"XATRAZINE","XDIAZINON","Poverty_150",0.406262985012178,FALSE
"XATRAZINE","XDIAZINON","Unemployed",0.3010885852414,FALSE
"XATRAZINE","XDIAZINON","Working_class",0.64106564723008,FALSE
"XATRAZINE","XESFENVALERATE","Education.index",0.0106004717631982,TRUE
"XATRAZINE","XESFENVALERATE","Income",0.315328135027016,FALSE
"XATRAZINE","XESFENVALERATE","home_value",0.349431158685706,FALSE
"XATRAZINE","XESFENVALERATE","rent",0.114860516201323,FALSE
"XATRAZINE","XESFENVALERATE","Poverty_150",0.494240670930924,FALSE
"XATRAZINE","XESFENVALERATE","Unemployed",0.237115205389167,FALSE
"XATRAZINE","XESFENVALERATE","Working_class",0.465171546328509,FALSE
"XATRAZINE","XFENBUCONAZOLE","Education.index",0.00908806541553347,TRUE
"XATRAZINE","XFENBUCONAZOLE","Income",0.0239327608858885,TRUE
"XATRAZINE","XFENBUCONAZOLE","home_value",0.0529455066194843,FALSE
"XATRAZINE","XFENBUCONAZOLE","rent",0.126161881553511,FALSE
"XATRAZINE","XFENBUCONAZOLE","Poverty_150",0.00208338013546768,TRUE
"XATRAZINE","XFENBUCONAZOLE","Unemployed",0.11135179055983,FALSE
"XATRAZINE","XFENBUCONAZOLE","Working_class",0.0839596761223714,FALSE
"XATRAZINE","XFLUMIOXAZIN","Education.index",0.221953248599711,FALSE
"XATRAZINE","XFLUMIOXAZIN","Income",0.49649871029114,FALSE
"XATRAZINE","XFLUMIOXAZIN","home_value",0.732613113083158,FALSE
"XATRAZINE","XFLUMIOXAZIN","rent",0.373995187228267,FALSE
"XATRAZINE","XFLUMIOXAZIN","Poverty_150",0.265652456848148,FALSE
"XATRAZINE","XFLUMIOXAZIN","Unemployed",0.0361431637665038,TRUE
"XATRAZINE","XFLUMIOXAZIN","Working_class",0.613211840437986,FALSE
"XATRAZINE","XGLYPHOSATE","Education.index",0.0096034404061898,TRUE
"XATRAZINE","XGLYPHOSATE","Income",0.608322896707271,FALSE
"XATRAZINE","XGLYPHOSATE","home_value",0.697659735901258,FALSE
"XATRAZINE","XGLYPHOSATE","rent",0.404440577037858,FALSE
"XATRAZINE","XGLYPHOSATE","Poverty_150",0.574566378837436,FALSE
"XATRAZINE","XGLYPHOSATE","Unemployed",0.128012996773121,FALSE
"XATRAZINE","XGLYPHOSATE","Working_class",0.736176445937494,FALSE
"XATRAZINE","XIMIDACLOPRID","Education.index",0.0231993391997599,TRUE
"XATRAZINE","XIMIDACLOPRID","Income",0.350630833236754,FALSE
"XATRAZINE","XIMIDACLOPRID","home_value",0.45709626206951,FALSE
"XATRAZINE","XIMIDACLOPRID","rent",0.174017575989681,FALSE
"XATRAZINE","XIMIDACLOPRID","Poverty_150",0.289088766933304,FALSE
"XATRAZINE","XIMIDACLOPRID","Unemployed",0.0705124843049924,FALSE
"XATRAZINE","XIMIDACLOPRID","Working_class",0.803883747736581,FALSE
"XATRAZINE","XNICOSULFURON","Education.index",0.0461833358384393,TRUE
"XATRAZINE","XNICOSULFURON","Income",0.84766283764125,FALSE
"XATRAZINE","XNICOSULFURON","home_value",0.815432933285091,FALSE
"XATRAZINE","XNICOSULFURON","rent",0.387614795055673,FALSE
"XATRAZINE","XNICOSULFURON","Poverty_150",0.563440413970634,FALSE
"XATRAZINE","XNICOSULFURON","Unemployed",0.130744077257705,FALSE
"XATRAZINE","XNICOSULFURON","Working_class",0.964726890664073,FALSE
"XATRAZINE","XPICLORAM","Education.index",0.0140987109005673,TRUE
"XATRAZINE","XPICLORAM","Income",0.237596901011335,FALSE
"XATRAZINE","XPICLORAM","home_value",0.348780922791395,FALSE
"XATRAZINE","XPICLORAM","rent",0.0988288402913846,FALSE
"XATRAZINE","XPICLORAM","Poverty_150",0.44222445122576,FALSE
"XATRAZINE","XPICLORAM","Unemployed",0.217326955824164,FALSE
"XATRAZINE","XPICLORAM","Working_class",0.301887327157627,FALSE
"XATRAZINE","XPROPARGITE","Education.index",0.0309592753993246,TRUE
"XATRAZINE","XPROPARGITE","Income",0.537081907150335,FALSE
"XATRAZINE","XPROPARGITE","home_value",0.726112156296537,FALSE
"XATRAZINE","XPROPARGITE","rent",0.622143321700515,FALSE
"XATRAZINE","XPROPARGITE","Poverty_150",0.250478571161359,FALSE
"XATRAZINE","XPROPARGITE","Unemployed",0.0399240275081816,TRUE
"XATRAZINE","XPROPARGITE","Working_class",0.936062794876956,FALSE
"XATRAZINE","XSIMAZINE","Education.index",0.0356314110116,TRUE
"XATRAZINE","XSIMAZINE","Income",0.958806914223754,FALSE
"XATRAZINE","XSIMAZINE","home_value",0.849994687295834,FALSE
"XATRAZINE","XSIMAZINE","rent",0.517125166699143,FALSE
"XATRAZINE","XSIMAZINE","Poverty_150",0.799477396155937,FALSE
"XATRAZINE","XSIMAZINE","Unemployed",0.259574390546956,FALSE
"XATRAZINE","XSIMAZINE","Working_class",0.910152235667746,FALSE
"XATRAZINE","XTEBUPIRIMPHOS","Education.index",0.0461583983542985,TRUE
"XATRAZINE","XTEBUPIRIMPHOS","Income",0.14414499760303,FALSE
"XATRAZINE","XTEBUPIRIMPHOS","home_value",0.173110162205993,FALSE
"XATRAZINE","XTEBUPIRIMPHOS","rent",0.0168709879881773,TRUE
"XATRAZINE","XTEBUPIRIMPHOS","Poverty_150",0.305377801960417,FALSE
"XATRAZINE","XTEBUPIRIMPHOS","Unemployed",0.115735119823064,FALSE
