"Pesticide","SES_Variable","SES_P_value","Significant","N","N_SC","N_Time","Filters"
"XIMAZAMOX","Education.index",0.0122464361454073,TRUE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","Income",0.166700570603437,FALSE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","home_value",0.139463381073392,FALSE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","rent",0.0496725090683093,TRUE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","Poverty_150",0.258852353378717,FALSE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","Unemployed",0.114834279350056,FALSE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XIMAZAMOX","Working_class",0.452488639408774,FALSE,1165,89,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","Education.index",0.983564910718873,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","Income",0.35268372289784,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","home_value",0.5532847570206,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","rent",0.363921387203504,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","Poverty_150",0.706529348330161,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","Unemployed",0.420507353672121,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XMETAMPOTASSIUM","Working_class",0.536344248711341,FALSE,73,7,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","Education.index",0.160772168413322,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","Income",0.70230866247233,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","home_value",0.785044497654228,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","rent",0.72980675644236,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","Poverty_150",0.38672482296538,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","Unemployed",0.181586837339106,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPOTASSIUMBICARBONATE","Working_class",0.430056667611147,FALSE,172,15,13,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","Education.index",0.452142354707033,FALSE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","Income",0.364113105417361,FALSE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","home_value",0.0255425164266591,TRUE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","rent",0.0351234630456024,TRUE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","Poverty_150",0.573934232498929,FALSE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","Unemployed",0.0326911939366515,TRUE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XPYRIDABEN","Working_class",0.906408345271582,FALSE,406,30,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","Education.index",0.0951718643074759,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","Income",0.980454196299902,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","home_value",0.904633620976369,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","rent",0.911756724890941,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","Poverty_150",0.612517186330348,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","Unemployed",0.155665962665068,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSPINOSYN","Working_class",0.643452984216373,FALSE,523,41,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","Education.index",0.0684224440328784,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","Income",0.337301596835717,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","home_value",0.185825307035033,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","rent",0.0400541075362585,TRUE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","Poverty_150",0.520381678598272,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","Unemployed",0.930381746303356,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XSULFENTRAZONE","Working_class",0.466796952382767,FALSE,842,58,16,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XTRALKOXYDIM","Education.index",0.843434271922396,FALSE,210,18,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XTRALKOXYDIM","Income",0.0672830861447691,FALSE,210,18,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XTRALKOXYDIM","home_value",0.0654822779364813,FALSE,210,18,15,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
