"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
-0.722053623244683,0.538604409458882,-1.34060102473002,0.180050024387823,-1.91077655100319,0.269118915973429,"GSE199057","pm2_510"
-0.542849058153578,0.581486943296632,-0.9335533057303,0.350534361363951,-1.79249066121275,0.563520796363354,"GSE199057","cannabis"
-0.03517404722327,0.455565105610955,-0.0772097045845915,0.938456721552612,-1.00118540206689,0.87307735028977,"GSE199057","pm2_5"
-0.0154104318042727,0.464898574126588,-0.0331479437923089,0.973556610119628,-1.01117926766489,0.940562149435253,"GSE199057","NO2"
1.54018750551699,1.25380449726923,1.22841121472407,0.219292640061688,-0.0162333610646175,5.22527773914709,"GSE199057","DDT"
0.572890508018136,0.480959923331155,1.19113980235664,0.233598706768635,-0.331295099744931,1.61402234897025,"GSE199057","TOXAPHENE"
0.489434296605258,0.466654961230613,1.04881408592459,0.294263693167135,-0.399799026431345,1.53534386300251,"GSE199057","ATRAZINE"
-0.441091852369988,0.469692882729128,-0.939106953903676,0.347675834318005,-1.48349685092038,0.447665964814207,"GSE199057","MESOTRIONE"
0.367219971065652,0.491222699810325,0.747563113853342,0.454723720598996,-0.535859717465936,1.49708131822494,"GSE199057","GLYPHOSATE"
0.389974805312373,0.599354224599106,0.650658307402801,0.515267082416879,-0.60724156613929,1.87091153262667,"GSE199057","HEPTACHLOR"
0.286768252248938,0.467876715261779,0.612914135059039,0.539933116423952,-0.608225436185689,1.29968625774267,"GSE199057","BMI"
-0.546382909209976,1.06944560025759,-0.510902947357373,0.609419017261353,-2.77775290679354,1.63953893327373,"GSE199057","PCB"
0.232910550612741,0.476695658290944,0.488593815701564,0.625129292195485,-0.677786165955025,1.27586960467179,"GSE199057","A_2_4_D"
0.216751251447822,0.447166360178366,0.484721729428315,0.627873750529549,-0.659943532763461,1.15728176628704,"GSE199057","dicamba"
0.207298026750965,0.442011596134275,0.468987756348345,0.63907838763658,-0.678314733653058,1.16576804917318,"GSE199057","smoking"
0.21070933711813,0.450825751100457,0.467385318171805,0.640224224868436,-0.725650543860077,1.17790345670424,"GSE199057","Alcohol"
0.201560677931531,0.452654582717704,0.445285844056578,0.656113196601313,-0.698262862926668,1.14709860290808,"GSE199057","AHEI"
-0.173299751388575,0.530537835271321,-0.326649184784245,0.743933238241303,-1.25767251089141,0.876272239663376,"GSE199057","LINDANE"
0.148419579320265,0.474160401887342,0.313015550707096,0.754268847647096,-0.7879691986155,1.21841138694816,"GSE199057","CHLORDANE"
-0.112916842917733,0.475230215197351,-0.237604511049116,0.812187851396062,-1.15412614671568,0.816755229942654,"GSE199057","MALATHION"
-0.0931109641056032,0.447951536351382,-0.207859459226333,0.835338704607773,-1.00478293291739,0.821293887354594,"GSE199057","Obesity"
-0.0763032330885236,0.450485367567095,-0.169380047792915,0.865497716303683,-1.00269507797086,0.830140479617425,"GSE199057","MDS"
-0.0465885361832507,0.451539051305439,-0.103177202610847,0.917822333014181,-0.988451739227223,0.848751122948214,"GSE199057","PICLORAM"
0.0380958554483835,0.448146345973302,0.085007622600705,0.932255330688716,-0.872612073075091,0.946533140649857,"GSE199057","birthweight"
-0.020424860359684,0.462962013591565,-0.0441177888467178,0.964810513140655,-0.979653297365555,0.92337522033519,"GSE199057","METOLACHLOR"
-0.00941030719385706,0.460812635172461,-0.020421113649228,0.983707441105014,-0.956372690265532,0.926144686489006,"GSE199057","ACETOCHLOR"
