"Estimate","Std. Error","z value","Pr(>|z|)","CI_l","CI_H","study","N","name"
-1.07929933471323,0.605851701988745,-1.78145795608127,0.0748376675126875,-2.43975435510916,0.131589362126232,"GSE131013",1,"BMI"
-1.12851411949611,0.750201328336099,-1.50428168662283,0.132508852422127,-2.92481179089048,0.242288681485341,"GSE131013",1,"pm10"
-1.32522308715768,0.945183189447444,-1.40208067806666,0.160891156212818,-3.6062588342815,0.302044569979063,"GSE131013",1,"pm2_5"
-0.766145520128912,0.718597292904902,-1.06616811348092,0.286347653538679,-2.35337744496121,0.640707081838385,"GSE131013",1,"Obesity"
0.693072523524591,0.818911210141165,0.846334150689082,0.397366361710454,-0.786216605793118,2.62077842839597,"GSE131013",1,"HEPTACHLOR"
-0.55766581364202,0.727979427095186,-0.766046117356971,0.443648862169469,-2.17641946938704,0.878488315578294,"GSE131013",1,"coffee"
0.638221292509016,0.855164044361808,0.746314460619433,0.455477478084715,-0.8509233614228,2.7181233138314,"GSE131013",1,"smoking_sm13"
-0.544493552863558,0.755717852581977,-0.720498465139136,0.471218144395397,-2.25367704083978,0.901936726690166,"GSE131013",1,"MESOTRIONE"
0.54199859423872,0.826714749050428,0.655605328030333,0.512078096477492,-0.916681215778722,2.47436504616824,"GSE131013",1,"ACETOCHLOR"
1.2629461012454,1.97122903276854,0.640689681539246,0.521724319477776,NA,NA,"GSE131013",1,"PCB"
-0.474973617264295,0.771106440874888,-0.615963752974746,0.537918443004767,-2.16891647450011,0.970580677733171,"GSE131013",1,"education"
-0.342236212963131,0.627399268319407,-0.545483921076075,0.585420736127673,-1.51322194991206,1.15687051060625,"GSE131013",1,"NO2"
-0.204962561213826,0.660468611395716,-0.310328996226929,0.756310783045949,-1.37398901573329,1.37066353886313,"GSE131013",1,"smoking"
-0.196894522089926,0.754883991084956,-0.260827523719161,0.794225518061914,-1.95801710092463,1.2281519693154,"GSE131013",1,"PICLORAM"
-0.156889859003651,0.709591703368356,-0.22109877871868,0.825015521170267,-1.57991028781071,1.395810767791,"GSE131013",1,"AHEI"
0.153025684520665,0.770144129746419,0.198697462734736,0.842499408896499,-1.11159705147221,1.90358352666835,"GSE131013",1,"dicamba"
-0.122988617524555,0.734370893353382,-0.1674747986851,0.866996475206096,-1.72983935981482,1.31211801295477,"GSE131013",1,"MDS"
0.0894014578780989,0.71519426011674,0.125003041640052,0.900521142348707,-1.4824782831169,1.49630344430518,"GSE131013",1,"Alcohol"
NA,NA,NA,NA,NA,NA,"GSE131013",1,"METOLACHLOR"
