"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
-1.2841585901116,0.924285584812377,-1.38935261050541,0.164725553150102,-3.95183331550272,0.147543174474354,"EMTAB3027","NO2"
-0.861140713047017,0.742188594306393,-1.16027209209782,0.245938043252645,-2.62077983477693,0.507534822424813,"EMTAB3027","pm2_510"
0.206053038852892,0.708682325416198,0.290755154267295,0.771238585890124,-1.15717320993836,1.82278105299142,"EMTAB3027","pm2_5"
0.180441106651358,0.697468462575016,0.258708624595268,0.79586006460035,-1.19686432658001,1.72463171257003,"EMTAB3027","cannabis"
1.59881322112334,0.896849871599933,1.78269883483525,0.0746353411271688,0.121524323500604,4.00109558572325,"EMTAB3027","CHLORDANE"
1.13821993884627,0.779249884560501,1.4606610297905,0.14410848873102,-0.236799762854627,3.09612064678894,"EMTAB3027","MESOTRIONE"
0.966737732344567,0.779185700735777,1.24070260970098,0.214715629889617,-0.42519058029673,2.89451718289291,"EMTAB3027","PICLORAM"
0.953377356568596,0.818114800474111,1.16533444452551,0.243883641711121,-0.47462959124236,3.01308208651841,"EMTAB3027","dicamba"
1.59093016272672,1.36756460461115,1.16333090031903,0.244695273207752,-0.281318110652618,5.65008480383077,"EMTAB3027","PCB"
-0.766046359431013,0.697308347483033,-1.09857620691921,0.27195296057097,-2.35558975832894,0.570731040882665,"EMTAB3027","GLYPHOSATE"
-1.02509945071006,0.942335898675219,-1.08782807929868,0.27667101108746,-3.36739274515782,0.517710654384263,"EMTAB3027","HEPTACHLOR"
-0.815961241635243,0.773864845477978,-1.05439760754511,0.291700917160544,-2.65763963017561,0.583786621679127,"EMTAB3027","ATRAZINE"
-2.11027948603509,2.03714309692043,-1.03590144905638,0.300248121541089,-8.27773710864806,-0.0498606637176812,"EMTAB3027","BMI"
1.08685636305915,1.08805556101681,0.998897852278296,0.317844176757352,-0.556124477974157,3.96540818336329,"EMTAB3027","LINDANE"
-0.585326781260726,0.675412591119012,-0.866621068302809,0.386149666006722,-2.09304955285508,0.762850526720169,"EMTAB3027","birthweight"
-0.579224006885984,0.685688908866107,-0.844732938503878,0.398259964497384,-2.21848702357299,0.773931160192683,"EMTAB3027","smoking"
-0.611828521256068,0.746200108299751,-0.819925532643174,0.412258560276167,-2.42012580784538,0.769636604734737,"EMTAB3027","A_2_4_D"
0.436128114202714,0.741314812896345,0.588317010014604,0.556319530265837,-0.937173426546278,2.16564183225784,"EMTAB3027","AHEI"
-0.387658369534745,0.690399918634014,-0.56149828392469,0.574457899849934,-1.90602572565781,0.992125027325391,"EMTAB3027","MALATHION"
0.198596006353192,0.672886690975881,0.295140339401229,0.767886675099655,-1.24343396574535,1.59876847799012,"EMTAB3027","Obesity"
0.198774403816782,0.683079331796509,0.290997538007778,0.771053202456294,-1.21481365612584,1.64286423813521,"EMTAB3027","Alcohol"
0.164207169969936,0.697062155397507,0.235570341465885,0.813766089890034,-1.20560193753638,1.72726717500397,"EMTAB3027","METOLACHLOR"
0.165682967940768,0.718194487008941,0.230693733992287,0.817552741790481,-1.17526585149163,1.86289837267755,"EMTAB3027","ACETOCHLOR"
0.100084206746174,0.679684563864924,0.147250963266048,0.882933936105328,-1.36776314571437,1.48779311328285,"EMTAB3027","MDS"
-0.0529186343525113,0.684731100242601,-0.0772838189090026,0.938397763044655,-1.4814120625512,1.38240522791482,"EMTAB3027","TOXAPHENE"
0.0230983806768941,0.681970160070314,0.0338700753043397,0.972980755938591,-1.54179379956725,1.36236619402822,"EMTAB3027","DDT"
