"ID","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
0.614267919103956,0.261302849197059,2.35078921256121,0.0187336428913662,0.111610162605103,1.14949396257245,"EMTAB7036","MESOTRIONE"
-0.602837490267395,0.263180706432386,-2.29058390502599,0.0219874906928263,-1.15869689594308,-0.107114360392798,"EMTAB7036","smoking"
0.532171715401036,0.250671100051159,2.12298791241761,0.0337548647759967,0.051196660592419,1.05002941295114,"EMTAB7036","PICLORAM"
-0.380957930259207,0.260180418626161,-1.46420676955934,0.143137461137903,-0.90526569542857,0.124036222088974,"EMTAB7036","pm10"
0.376963647374298,0.275920495208743,1.36620386640402,0.171874984300741,-0.160723144549943,0.930757109524166,"EMTAB7036","Obesity"
0.507049245360496,0.389380039155206,1.30219629763401,0.192849290511636,-0.243502466698407,1.29488775438523,"EMTAB7036","PCB"
-0.16566082823194,0.257812866748388,-0.642562298465949,0.520508153238053,-0.676674165629412,0.346294062839448,"EMTAB7036","BMI"
0.141857221501128,0.264140036568564,0.53705308496202,0.591230946085211,-0.360465182313071,0.68272921581524,"EMTAB7036","ACETOCHLOR"
-0.113284259373984,0.232861410888552,-0.486487902575673,0.626621280441767,-0.562353237079801,0.379862539442075,"EMTAB7036","NO2"
-0.118255635916779,0.261031963619236,-0.453031246737573,0.650526241593377,-0.659354241393406,0.373122688250351,"EMTAB7036","pm2_5"
-0.125803942390715,0.285253594933949,-0.441024914759953,0.659194960031849,-0.790365262191998,0.348131024247917,"EMTAB7036","HEPTACHLOR"
