"Estimate","Std. Error","z value","Pr(>|z|)","CI_l","CI_H","study","N","name"
1.05340993023904,0.266946761009535,3.94614239279499,7.94203934502482e-05,0.564841899323518,1.61760256847988,"COAD",1,"PICLORAM"
-0.792272990928576,0.237309073178563,-3.33857016218015,0.000842107606997378,-1.28791705880213,-0.350273468853181,"COAD",1,"Obesity"
-0.537411495862844,0.22286259404003,-2.41140285644488,0.0158912845914745,-0.99504444237762,-0.113792468320761,"COAD",1,"BMI"
-0.404028398916179,0.198648038259733,-2.03389070667746,0.0419626161719507,-0.80298765668983,-0.013496844927018,"COAD",1,"ATRAZINE"
0.428265452962832,0.210719369277578,2.03239718508593,0.0421134628404972,0.0183356587255593,0.850419521842056,"COAD",1,"TOXAPHENE"
0.411849090381684,0.216709514376395,1.90046612197358,0.0573719767670845,-0.00345962960971646,0.853344567592592,"COAD",1,"AHEI"
0.832264581925459,0.442795045256491,1.87957067460718,0.0601666130667797,-0.0168203260742812,1.73980060622939,"COAD",1,"PCB"
0.305416356340387,0.190618054755695,1.60224254062304,0.109101986304399,-0.072636789170038,0.692553806639309,"COAD",1,"DDT"
0.323173380962232,0.215278914464484,1.50118455291425,0.133307834159163,-0.0920955081701723,0.757752265741666,"COAD",1,"ACETOCHLOR"
0.316196728373897,0.215054830297777,1.47030749291273,0.141478492615398,-0.0987895230088053,0.749777935537112,"COAD",1,"MESOTRIONE"
0.286703716494616,0.205886480543222,1.39253299069546,0.163761058650702,-0.118894655790421,0.694762295142635,"COAD",1,"CHLORDANE"
-0.274732449320395,0.21275220188139,-1.29132599752626,0.196590659468617,-0.70319772152612,0.136475238403084,"COAD",1,"birthweight"
0.143609460703729,0.211633724439595,0.678575501536943,0.497406869815593,-0.267788883060041,0.567860348134732,"COAD",1,"LINDANE"
-0.134203224555277,0.213774761961964,-0.627778617660936,0.530148975322603,-0.560350352760162,0.283958638625199,"COAD",1,"dicamba"
0.125765736038592,0.208844981020971,0.602196593012515,0.547043283273332,-0.277873642941661,0.54757564136446,"COAD",1,"Alcohol"
0.105798150879287,0.212104067905074,0.498803025911962,0.617918155658078,-0.30976614704862,0.527541957227213,"COAD",1,"pm10"
-0.10054398583753,0.207813553997621,-0.483818229867149,0.628514876230519,-0.509061875229095,0.311747575695348,"COAD",1,"METOLACHLOR"
-0.0637111922558394,0.211218924699107,-0.301635813867529,0.762929703338626,-0.488483965630179,0.345834423435493,"COAD",1,"GLYPHOSATE"
0.0612936249218036,0.209893331012593,0.292022736625806,0.770269239967177,-0.353699401398846,0.475358840885024,"COAD",1,"A_2_4_D"
-0.0569069848961889,0.210234577276015,-0.270683279760762,0.786634637708206,-0.472939163726928,0.357811649836596,"COAD",1,"MALATHION"
0.0554158405417984,0.217697170218863,0.254554712337721,0.799067041353652,-0.37297580440029,0.486164364587204,"COAD",1,"pm2_510"
-0.0396730511615108,0.207651351522922,-0.191056070045041,0.848481664604623,-0.449866700013281,0.369947948952486,"COAD",1,"MDS"
-0.0283094260218973,0.209111203318969,-0.135379767188826,0.892311620298202,-0.443366502361275,0.382123106892992,"COAD",1,"pm2_5"
-0.0196556390682936,0.206539262675094,-0.0951665984167564,0.924182500143473,-0.436658915438524,0.380705440903432,"COAD",1,"HEPTACHLOR"
-0.00390751568777299,0.205190129528892,-0.0190433901316037,0.984806491356975,-0.40574636097038,0.405709078308088,"COAD",1,"smoking"
-0.000657976659848064,0.209702920575156,-0.00313766092548172,0.997496512898294,-0.416140758388319,0.412986251315022,"COAD",1,"NO2"
