"Estimate","Std. Error","z value","Pr(>|z|)","CI_l","CI_H","study","N","name"
-1.5939625657484,0.800607818818135,-1.99094054327551,0.0464874242334548,-3.66679840974665,-0.339370569197933,"GSE39958",1,"GLYPHOSATE"
1.02322247573376,0.56819568970164,1.8008275921119,0.0717300584685241,0.027683018199415,2.32747692267061,"GSE39958",1,"PICLORAM"
-0.91977834258816,0.536078785880146,-1.71575217452048,0.0862074109230351,-2.13119943842415,0.039860916689252,"GSE39958",1,"Obesity"
-0.85295466437265,0.542541825634029,-1.57214545325766,0.115916822246829,-2.08703236015241,0.119588159046751,"GSE39958",1,"ATRAZINE"
-0.924543590665452,0.591773163789007,-1.562327674249,0.118210815778495,-2.30626682943041,0.0994300522128411,"GSE39958",1,"BMI"
0.774627732331895,0.55241797504209,1.40224932447731,0.160840807171351,-0.203032899556642,2.09875156527663,"GSE39958",1,"ACETOCHLOR"
-0.476691858653153,0.483793683496342,-0.98532055071107,0.324466641304344,-1.55670401871799,0.432995087619815,"GSE39958",1,"MDS"
0.462041507936229,0.505339937043835,0.914318212487033,0.360549663444774,-0.495735065294996,1.54936074146448,"GSE39958",1,"dicamba"
0.45335048317726,0.502457431123223,0.902266451038079,0.366915342650976,-0.462672249299369,1.62841039131823,"GSE39958",1,"CHLORDANE"
-0.412785806355294,0.469330094172405,-0.879521282527559,0.379118698808225,-1.40806762692105,0.489004140496409,"GSE39958",1,"pm2_5"
0.404068163375905,0.48647749654183,0.830599906980818,0.406199687318936,-0.531080883474757,1.44308115666776,"GSE39958",1,"MESOTRIONE"
-0.296906286045788,0.462610517799812,-0.641806173058673,0.520999041034934,-1.29902447194439,0.603223909817754,"GSE39958",1,"A_2_4_D"
0.373936603386001,0.593654408530495,0.629889373367288,0.528766965992887,-0.769157210539289,1.63981394244143,"GSE39958",1,"TOXAPHENE"
0.283146496874176,0.466066825657924,0.607523387819916,0.543503626373651,-0.628738184296289,1.2507053141747,"GSE39958",1,"LINDANE"
-0.314964516318411,0.52570178856166,-0.59913152888478,0.549085178137751,-1.47154305087915,0.68638523081562,"GSE39958",1,"HEPTACHLOR"
-0.253745109098595,0.459977656852817,-0.55164659699936,0.581190504686664,-1.22063582945311,0.641540489110055,"GSE39958",1,"METOLACHLOR"
0.281226439909307,0.558771315220571,0.503294339292087,0.614757345739977,-0.778025581479712,1.57317949067788,"GSE39958",1,"pm2_510"
-0.218715486200967,0.470717590791748,-0.464642686994312,0.642187357777429,-1.26697421949092,0.69474679921441,"GSE39958",1,"NO2"
-0.151207774900837,0.458390264867376,-0.32986689833953,0.741500536121909,-1.11044564785701,0.744309901435644,"GSE39958",1,"smoking"
-0.139244949016844,0.456813368591615,-0.304818025457848,0.760504752126369,-1.10528745076102,0.766750242426311,"GSE39958",1,"pm10"
0.120331081876991,0.461677459168321,0.260638849671714,0.79437102716636,-0.809578234929185,1.09611127290232,"GSE39958",1,"MALATHION"
0.121182656505955,0.477440790768388,0.253817140992343,0.799636830404743,-0.808314646485839,1.25925718741829,"GSE39958",1,"DDT"
-0.0827546960698017,0.46096713934979,-0.179524067998708,0.857526220777517,-1.03437745592564,0.844767693515269,"GSE39958",1,"AHEI"
-0.131991700631978,0.744217240964683,-0.177356413378552,0.859228441593576,-1.73948026412264,1.49822487460225,"GSE39958",1,"PCB"
0.0463186557736465,0.455883741554958,0.101601903186237,0.919072668744917,-0.858634648431603,0.980229742993762,"GSE39958",1,"birthweight"
0.0457736552374004,0.462441701050312,0.0989825423041172,0.921152131249946,-0.889120513789278,0.989694905185853,"GSE39958",1,"Alcohol"
