"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
-0.592861381498549,0.725399859664972,-0.817289076637489,0.413763247700901,-2.30361954069161,0.779677472032499,"EMTAB3027","NO2"
-1.28882994323095,0.969739979524259,-1.32904693056301,0.183832487133719,-3.80182448108489,0.29900482282628,"EMTAB3027","HEPTACHLOR"
1.41058336829344,1.07811015133504,1.30838520214906,0.190742689204031,-0.253410350898591,4.32720370757993,"EMTAB3027","MESOTRIONE"
1.01405816062074,0.806413876719677,1.25749096077776,0.208575910158852,-0.41053061997207,2.95910997549722,"EMTAB3027","PICLORAM"
-3.5234028917291,2.80659239403447,-1.25540242295897,0.209332710220845,NA,NA,"EMTAB3027","BMI"
-1.06273931027272,0.875260536448374,-1.21419767716833,0.224672247312958,-3.31983445378784,0.42173340398602,"EMTAB3027","MDS"
-0.873621515152837,0.757999516926462,-1.15253571492393,0.249101002332298,-2.69116707849261,0.50879998362115,"EMTAB3027","METOLACHLOR"
0.88029753911284,0.82751152972367,1.06378885066024,0.287424363216124,-0.558535444625434,2.95106471399482,"EMTAB3027","AHEI"
1.99939095841358,1.95514366269237,1.02263122478697,0.3064822403265,-0.224741334153507,8.42579204717793,"EMTAB3027","PCB"
-0.6939112357854,0.764274911519936,-0.907934076241491,0.363913052574198,-2.49179793766268,0.699441341341665,"EMTAB3027","education"
-0.484151743303787,0.683757467180502,-0.708075255543758,0.478898524992654,-2.05212557601982,0.88444768593043,"EMTAB3027","smoking"
0.340605486109267,0.749048122856376,0.45471776207171,0.649312300719192,-1.01677887811487,2.14438027758204,"EMTAB3027","Obesity"
-0.330192211341222,0.736719843000806,-0.448192368480647,0.654014369926179,-2.10144620947828,1.02843862426632,"EMTAB3027","ACETOCHLOR"
0.265772639650387,0.677101286737839,0.392515336857259,0.694677481550227,-1.14347446542354,1.71407350653207,"EMTAB3027","dicamba"
-0.146013171120862,0.697759861622556,-0.209259917561503,0.834245340191671,-1.7246202658288,1.21749053256267,"EMTAB3027","Alcohol"
0.133900058748965,0.678259377525267,0.197417187562552,0.843501080554976,-1.3150984592865,1.53953715133176,"EMTAB3027","coffee"
-0.0103935827319467,0.685507093624187,-0.0151618893934375,0.987903026023374,-1.48061432211173,1.38776819643436,"EMTAB3027","smoking_sm13"
