"Estimate","Std. Error","z value","Pr(>|z|)","CI_l","CI_H","study","N","name"
-1.04376212824763,0.46264301508707,-2.25608534919995,0.0240652864851937,-2.08783975691522,-0.237646864069048,"GSE101764",1,"education"
-0.782005608924601,0.389287373158284,-2.00881318749231,0.0445569491726121,-1.62436845270719,-0.0679695237663048,"GSE101764",1,"MDS"
0.864806865383373,0.443714393448598,1.94901693105332,0.0512934028139062,0.0750329797826591,1.8525182611327,"GSE101764",1,"coffee"
-0.719519426899941,0.393874071091726,-1.82677530639578,0.067733560145629,-1.58780605154889,-0.0045462414278658,"GSE101764",1,"ACETOCHLOR"
0.726726661531144,0.403790831869863,1.79976018317662,0.0718985135520653,-0.0100186465808756,1.60130869903708,"GSE101764",1,"smoking_sm13"
-0.597943864917762,0.339966901669605,-1.75882964483075,0.0786064479480243,-1.32045578842589,0.0436965664670303,"GSE101764",1,"NO2"
0.486796447604367,0.354312507460259,1.37391832733697,0.169467039200185,-0.173685000084878,1.23503307882866,"GSE101764",1,"PICLORAM"
0.470359409840667,0.352161184018004,1.33563672314499,0.181668040891576,-0.195775152643292,1.20349637549124,"GSE101764",1,"AHEI"
-0.468160251696758,0.378330654517745,-1.23743673981036,0.215924986162328,-1.26361006803199,0.244277580763071,"GSE101764",1,"pm10"
1.09480032246185,1.07944861832238,1.01422180164845,0.310476927832306,-0.93358381519286,3.39835649811847,"GSE101764",1,"PCB"
-0.288505524414473,0.33731984240236,-0.855287736291361,0.392391875095753,-0.990079888397408,0.356806130537208,"GSE101764",1,"dicamba"
-0.29115734529815,0.348355906540663,-0.835804244542538,0.403265038254005,-1.01904741284529,0.379119401017793,"GSE101764",1,"BMI"
-0.275050566627813,0.36296250181976,-0.75779334021782,0.448574709895921,-1.03344524492802,0.416327736375553,"GSE101764",1,"pm2_5"
0.274453722423794,0.365311623802164,0.751286585319349,0.452480200703501,-0.418506356076475,1.04078605455196,"GSE101764",1,"METOLACHLOR"
0.237495365656193,0.372613959862356,0.637376457242567,0.523879659659117,-0.450819010820713,1.04467029700387,"GSE101764",1,"smoking"
0.185344135741268,0.314324687807271,0.589658219448903,0.555419811311103,-0.497779478278727,0.81060225813856,"GSE101764",1,"HEPTACHLOR"
0.170802577805806,0.318906999324395,0.535587422564106,0.592243723189015,-0.481027774569471,0.839077989104675,"GSE101764",1,"MESOTRIONE"
0.173439662163912,0.34204436172251,0.507067742004233,0.612107287984914,-0.513954992023711,0.89121812152701,"GSE101764",1,"Alcohol"
0.0315931195527855,0.355554444234759,0.0888559264693812,0.929196410525387,-0.652501963647183,0.768911338395451,"GSE101764",1,"Obesity"
