"ID","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
0.988334263459868,0.730668618038214,1.35264364591635,0.176169501815834,-0.350412467096074,2.75779424161949,"EMTAB3027","MESOTRIONE"
-1.31007333741288,0.975406694036815,-1.34310472280133,0.179238066533365,-3.86002185441983,0.280624378179009,"EMTAB3027","HEPTACHLOR"
-1.54094483431723,1.16975651133588,-1.31732101457374,0.187731044077166,-5.12204533388928,0.0340387311578559,"EMTAB3027","NO2"
1.02800355110901,0.801445233462583,1.28268721078745,0.199601682317759,-0.384283598954187,3.02098878740906,"EMTAB3027","PICLORAM"
1.75287867535635,1.4502050375993,1.20871092701353,0.226773922203783,-0.200596157312582,6.03326452213691,"EMTAB3027","PCB"
-2.57143152593453,2.17855867704386,-1.1803361337156,0.237866552224075,-8.34687052908176,-0.170734486217663,"EMTAB3027","BMI"
-0.697834603404783,0.701626540141284,-0.994595505558075,0.319933034316483,-2.46029807962112,0.642789054893371,"EMTAB3027","smoking"
0.599366477584849,0.805127642289249,0.744436591297062,0.456612388864438,-0.807262897792389,2.51192833296292,"EMTAB3027","Obesity"
-0.425700068995077,0.740007733491073,-0.575264351612634,0.565112526966658,-2.17379919781141,0.946332328679208,"EMTAB3027","ACETOCHLOR"
-0.318852226531207,0.706449184602563,-0.451344885776304,0.651740999082454,-1.87449097086933,1.05973770189559,"EMTAB3027","pm10"
0.2577468109762,0.720752704657338,0.35760783041215,0.720636817525328,-1.09515008886284,1.95070923377332,"EMTAB3027","pm2_5"
