"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
0.962521169321421,0.370361313595406,2.59887070811318,0.00935309939706719,0.301200554186457,1.76883828352723,"EMTAB7036","pm2_5"
-0.210307119109411,0.279582010295203,-0.752219782980147,0.451918898616479,-0.779491872687466,0.326869452069865,"EMTAB7036","pm2_510"
-0.130434680611242,0.225912372952061,-0.577368467724076,0.563690570521642,-0.566545325069501,0.362175446745072,"EMTAB7036","NO2"
-0.0313021677378441,0.256645932583578,-0.121966350382936,0.902925667770631,-0.535571919276964,0.481760551407288,"EMTAB7036","cannabis"
-0.779850462318029,0.267419414721217,-2.91620734841192,0.00354314944763924,-1.33574420133273,-0.272052289078721,"EMTAB7036","ATRAZINE"
0.692468849903597,0.267934423958151,2.58447137801059,0.00975283990267892,0.186259034713855,1.25264844390555,"EMTAB7036","MESOTRIONE"
0.553218262136313,0.259884770158506,2.12870597149229,0.0332785944829514,0.0582921500667521,1.09210729260455,"EMTAB7036","PICLORAM"
-0.549928827830493,0.297404866286028,-1.84909155891753,0.0644445930441285,-1.17322712065312,0.00225871927307443,"EMTAB7036","A_2_4_D"
0.427064148560039,0.235818305575315,1.81098811442204,0.0701426915199474,-0.0373815569895382,0.913820602076855,"EMTAB7036","CHLORDANE"
-0.481816351488642,0.281948775380926,-1.70887903605074,0.0874733585108206,-1.05888417502174,0.0529149800663873,"EMTAB7036","GLYPHOSATE"
-0.387035561033334,0.244237867870898,-1.58466647456126,0.113042132851544,-0.886438472512993,0.0925476189678615,"EMTAB7036","smoking"
-0.615116872130847,0.402317821049791,-1.5289326993415,0.126281128911155,-1.56739842387325,0.0508666151567526,"EMTAB7036","DDT"
-0.331120530244619,0.247257395326732,-1.33917341403305,0.180514225235118,-0.833072831440242,0.158714709969446,"EMTAB7036","BMI"
0.384590084063876,0.290893917751895,1.32209737156449,0.186135728939346,-0.149454792890582,1.00231651978241,"EMTAB7036","ACETOCHLOR"
0.500734551218364,0.402011440610199,1.24557288831959,0.212921240840245,-0.271887592637543,1.31514588434354,"EMTAB7036","PCB"
-0.358766591852498,0.316777364194446,-1.13255122494257,0.257402761254646,-1.03874137257686,0.190126991209089,"EMTAB7036","HEPTACHLOR"
0.24067187301001,0.262402360094421,0.917186388580529,0.3590449781433,-0.27669299686746,0.764147594241971,"EMTAB7036","MDS"
-0.217794990913159,0.261905361053784,-0.831578972025826,0.405646635397635,-0.743823940939773,0.29433569849626,"EMTAB7036","TOXAPHENE"
-0.189553058627481,0.232246904152466,-0.816170442913819,0.41440265919304,-0.679659916121034,0.303414217380534,"EMTAB7036","Alcohol"
-0.201299195896065,0.260460457843114,-0.772858949734763,0.439605861299144,-0.714974830624528,0.317504250163036,"EMTAB7036","LINDANE"
0.149067779545553,0.247139251871217,0.603173224879842,0.546393457780487,-0.342440272588269,0.645685471815087,"EMTAB7036","birthweight"
-0.140891308730218,0.25484835687943,-0.552843700683049,0.580370441351668,-0.64745232773829,0.361335658659904,"EMTAB7036","METOLACHLOR"
-0.143878770642343,0.273957635530005,-0.525186203932561,0.599453754523497,-0.701450925462399,0.380213813033984,"EMTAB7036","dicamba"
0.109091575036458,0.266339410326296,0.409596067299271,0.682102282289238,-0.402066713624248,0.649176409710629,"EMTAB7036","Obesity"
0.0871073651380507,0.265021275949719,0.32868064960406,0.742397081823825,-0.423688615581502,0.625805773554557,"EMTAB7036","MALATHION"
0.0577837351936779,0.258610422159855,0.223439313509028,0.823193609875365,-0.460255974870984,0.563078721935482,"EMTAB7036","AHEI"
