"ID","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
-0.495711707020787,0.477007486732602,-1.03921158641829,0.298706343062785,-1.59044605198675,0.397311765428864,"GSE199057","MESOTRIONE"
0.46921695173442,0.505441652911589,0.92833059766939,0.353236106984068,-0.462041150164221,1.5917292684106,"GSE199057","BMI"
0.313287924668945,0.480074926923841,0.652581309914244,0.514026237981907,-0.607539302650211,1.38442286453836,"GSE199057","Obesity"
-0.264398348386275,0.486894407235903,-0.543030161071809,0.587109036204741,-1.41636114212425,0.661736507355462,"GSE199057","NO2"
0.188086445752067,0.440970885821236,0.426528035749542,0.669723123576847,-0.688452626183904,1.15806545986371,"GSE199057","smoking"
0.192561718580538,0.457817725151266,0.420607827093007,0.674041477300067,-0.739644266340744,1.14688142975606,"GSE199057","ACETOCHLOR"
0.211756369110088,0.514080414279183,0.411912928849861,0.680403244095587,-0.785020551601193,1.32162464788853,"GSE199057","pm10"
-0.107548607877273,0.451262992708298,-0.238328002994019,0.811626703741623,-1.04891521066168,0.780618934485708,"GSE199057","PICLORAM"
0.103512457520417,0.449126468481579,0.230475077254688,0.817722627710544,-0.79377938415599,1.03216530929259,"GSE199057","HEPTACHLOR"
-0.053518211217094,0.479964452192135,-0.11150453116405,0.911216272659338,-1.09048055419235,0.876678379763389,"GSE199057","pm2_5"
-0.0165304652038704,0.996860218787842,-0.0165825307222822,0.986769661107579,-1.98395726133151,2.11227004546666,"GSE199057","PCB"
